date,review,title,userName,rating,isEdited,app_name,app_id
2021-10-28 04:06:32,"You used to have 3D Touch capability on the app icon from the Home Screen allowing playback controls, and for whatever reason you removed it. Why?  So easy to control playback from the icon itself. Stop adding only to remove.

Any time I make a change to my Apple Music cloud-synced content from my iMac, the playlist DISAPPEARS ENTIRELY from my iPhone, and I have to go through a tedious resyncing process. Dumb.  Why am I paying for this again?

And you STILL don’t allow sorting of a playlist’s contents on the iPhone itself?  I have to sort alphabetically only on my iMac?  (See unfortunate consequences above…) What if I want to sort it alphabetically in my phone?  For some reason that’s just not allowed???  WHY.",Syncing / 3D Touch / sorting,istariphoenix,2,False,apple-music,1108187390
2021-11-24 14:24:27,"I would like to be able to block explicit content only in the music app, without affecting podcasts, news, etc.  With HomePods, we often play Apple Music in the background all day, but don’t want explicit lyrics with the kids running around.  The setting, however, is so broad (in settings > screen time..) that it also blocks podcasts, news, etc with explicit content — which is quite common. I highly recommend that you allow content restrictions within the Apple Music app itself to isolate from the other content sources. Thanks.",Need more granular content control,rrrragzzzz,3,False,apple-music,1108187390
2021-11-10 04:05:53,"The interface is pretty awful. Seems to have been designed on the assumption that users would just talk to Siri, so the interface didn't actually matter. But the infuriating unacceptable ""feature"" was that it was impossible to prevent the app from burning through bandwidth and streaming music every time I got in my car. Even if the stereo was off, the app still streams to.... nothing. The only option was to remember to pause the app every single time I got in the car, and deal with it clogging up my lock screen when I didn't want it. 

So after less than 2 weeks I cancelled my six month subscription and deleted the app. Typical Apple arrogance - decide how something should work and don't allow any options.",So bad I cancelled a free subscription,N0N@mesLeft,1,False,apple-music,1108187390
2021-10-15 04:41:24,"I want to like this garbage program, I really do. But mostly it makes me want to kick a kitten (N.B. I would never kick a kitten. That this program makes me joke about it tells you how incredibly infuriating it is.)

Lossless, great! What if using iTunes on Windows (yeah, I’m a masochist). Well then I’m out of luck. Petty garbage like this is infuriating.

I tend to listen to long tracks (lots of classical music). Let’s say you’re in the middle of a long track, listening in your car. You get out of the car, playback stops. Of course it will pick back up where you left off. Maybe one out of five times. Sometimes it won’t play anything. Other times you’ll start at the beginning of your first playlist. Or maybe at a random spot on a random playlist. Who knows? Lacking this kind of basic functionality is inexcusable.

Speaking of playlists, did that item you added make it on there? Better check and see because the odds are at least 60-40 that it didn’t. Why? Who can say - an unsolvable mystery I guess.  But yes, another thing that should, oh you know, just work.",Just a hot mess,Dfking66,2,False,apple-music,1108187390
2021-11-25 17:00:25,"The music-playing itself is great, it’s really easy to find songs you don’t know the name to. I’m able to listen to my favorite artists and songs without ads, but at the same time, there are way too many errors I get. The one I’m currently dealing with only allows me to play certain songs, something about an invalid certificate. The app is telling me that it’s pretending to be Apple Music. It’s really weird, but I’ve read online that the date and time is usually the cause of this. My date & time had already been on auto set, so it isn’t the problem. I’m not really sure what I should do, so hopefully temporarily, I can’t listen to any music.",This a great app but….,Jhduduhdhxhx,2,False,apple-music,1108187390
2021-10-03 13:05:50,"Apple Music would be such a great app if… 
- the app didn’t have to load browse and listen now content all the time; I mean it’s super slow,
- it notified me when MY favorite artists release new music, 
- allowed for playlists to show newest song first, so I don’t have to scroll all the way down to listen to tunes I recently added,
- allowed for folder to be created from iOS devices,
- separated artist names in songs with multiple artists for better management in the library (no duplicate names) and Apple Music artist page for each one on the song,
- left-swipe didn’t just delete playlist songs from the library but just removed them from playlist, or at least offered a choice,
- and actually learned from my listening habits instead of feeding me the same kind of popular music that I don’t enjoy. 

But I’m probably just wasting my time because Apple doesn’t really listen…",Could be the best; simply isn’t.,iMathew!,3,False,apple-music,1108187390
2021-10-03 19:56:14,"For a long time, Apple Music was fine. Nothing flashy, but at least it worked.
The last few updates have completely destroyed it. The queue is messed up, sometimes adding songs in the middle of queue - or not adding them at all. Other times it will randomly skip around 30 seconds into a song while scrolling through the queue.
Recently it has also killed songs halfway through, giving the error “the requested URL not found.” Nothing has changed on my end, and most of the songs this happens to are downloaded anyways - so it should not be a problem with my Wi-Fi.

This app used to be useable, but as of late it has been quite the opposite. I use this app a lot, and the fact it is bordering on unusable due to bugs makes me consider switching to a third party app.

Apple please fix your app. I do not care about recommendations or any of these fancy new editions, I just want to be able to play the music I have without it stuttering or throwing errors. Please make it actually play music before you make it look pretty.",Buggy disaster,John manyjohns,1,False,apple-music,1108187390
2021-09-29 19:40:51,"There are so many problems with this app it’s embarrassing. It’s like it was designed by people who don’t use it. My number one complaint is how it treats Play Later. If you’re in the middle of an album or playlist, Play Later will add to the very end rather—rather than after the Play Next’s but before the rest of the music. This makes it incredibly frustrating to queue up music. It did not used to be like this. It use to work like Spotify’s queue. Would love to see this functionality revert. Also we still don’t have shared playlists?? The actual music service is good though and I appreciate their commitment to artists.",Embarrassing App For a Good Sevice,jaygrantjaygrant,2,False,apple-music,1108187390
2021-10-14 19:36:59,The only thing stopping me from giving it a 5 star is the way you have to delete music. Have to do it one by one. I do not understand this at all!!! It should be like the mail app. I should be able to click edit and then select all the songs I want and delete them all at once. It such a simple concept I don’t get why they haven’t added this. Please please please add it!!! I have sooo many songs I wanna delete but it takes me forever to do it one by one. Please,Deleting songs,Omgpj99,4,False,apple-music,1108187390
2021-09-30 11:21:38,"Apple needs to give this service some more love. It’s come a long way from when it first came out, but some basic features are seriously lacking:

Please allow me to sort my music with playlists on the app (via artist, add date, alphabetical, etc.)

When I delete an entire album I downloaded how about we not remove any of the songs in said album from all my personal playlists?

Provide us some sort of download bar or something that shows the status of music being downloaded/updated

When we switch to lossless/Dolby how about when the setting is turned on all the eligible music auto updates?!?! Why do we need to go to every individual thing and update it ourselves?

If I turn explicit music on please make it so all the music is explicit. Some of your curated playlists are unusable to me. For instance Eminem essentials…some songs are explicit while others are edited…W.T.F! This is the case for many other curated playlists like workout ones. Makes me not want to use them",Please give this service more attention,Jamcgahey,1,False,apple-music,1108187390
2021-10-12 05:09:46,"Match is a great idea, but I’ve downloaded countless albums over the years and then I’ll go back to the album and a bunch of songs will be missing. After further search it turns out that the missing songs have been “matched” with some kind of compilation album rather than the actual source album. This happens all the time and is a huge pain. 

Also, Music on the Mac is an absolute disaster. Navigation buttons (to go back and forward) constantly disappear, songs will get stuck and never start playing, I often can’t add songs to Up Next. The app is borderline unusable.",Match is broken,Drewsky5,2,False,apple-music,1108187390
2021-10-20 16:04:17,"I’ve had Apple Music for a while but since the new iOS 15 update, all my downloaded music was no longer downloaded, I can’t understand why this happened even though i paid my subscription two days prior to it ending. I feel this is something that needs to be worked in because when I try to download something, it will download but the next day it is gone.","Great, but",Nathan Bourdukofsky,4,False,apple-music,1108187390
2021-10-12 11:48:58,"Hello
Others have pointed out a lot of great things to improve. So I’ll skip those. I can provide a very specific genre related input - classical music on Apple Music. 

Guys… it’s bad. Like really not good at all. 
- The search function is practically useless. Try to search any of Beethoven’s sonatas, I always get no 8 and 14 in the result even if I’ve searched for say, 23. 
- Searching by artist is completely impossible since names get so long that search returns no results at all. 
- Classical is also different in the sense that artists are different from composers. That must be kept in mind. Clicking on the artist or the orchestra or conductor - all bring you only to the first name. 
-  

But the good news is that you’ve acquired Primephonic. I sincerely hope you use it to make classical on Apple Music better. It was leaps and bounds ahead. This is a golden opportunity - please don’t mess it up. 
Thanks.
Okay byeee",Big opportunity,WITTYPLANT,3,False,apple-music,1108187390
2021-11-13 09:51:02,"I’ll start by saying I have have Apple products since iPhone 3G. we are now on iOS 15. I no longer own a MacBook Pro or any other laptop/computer. This app receives 3 stars because there is no way to edit song information of old pre- Apple Music songs. As I am sitting here going through my 25k+ song list. I find myself increasingly frustrated that I cannot edit any downloaded song. Come on Apple. iTunes or a version of its editing qualities should be implemented into this app. Then, my iPad Pro would be perfect.",Mediocre at best,Ray 2Timez,3,False,apple-music,1108187390
2021-10-27 00:40:49,"Between the Dolby Atmos and Lossless audio, it's already miles ahead of any other music service available. But when you add in the pure aesthetic of the app, you're left with easily the best music app on the market. If Apple does anything right, it's aesthetics and music, and this app proves that. I would personally not switch to any other app at this point. Definitely download.","Best music streaming service out there, easily.",RyanCFogarty,5,False,apple-music,1108187390
2021-11-04 17:16:48,"Whoever decided it would be a good idea to embed apple music in control center with no ability to remove it should never touch anything involving UI.  Also, apple music perpetually opened in lockscreen is very annoying.  I keep accidentally playing music in my pocket.   The only way to remove it is to restart your phone but as soon as you play anything it’ll be back until you do another reset.  

Why add these “features”  ?   Honestly apple has gone downhill.  Iphone 7 had the last decent OS.  Everything after has gotten progressively worse with each new iteration.",always open in control center and lock screen,gcrain92,1,False,apple-music,1108187390
